Agent,Route,Time(steps),Distance(m),Speed(m/s),MaxSpeed(m/s),Edges,TLS_enc,Amber_enc,Red_enc,Green_enc,Amber_runs,Red_runs,Green_runs,Sudden_brakes,MaxDecel(m/s^2),AvgDecel(m/s^2),Lane_changes,Collisions,WaitTime(s)
safe_1,6,384,1768.03,4.6,9.48,63,9,2,5,2,2,5,2,38,4.5,8.49,62,0,0.0
risky_1,6,549,1772.07,3.23,8.39,68,9,3,5,1,3,5,1,77,4.5,6.32,67,0,0.0
safe_1,2,503,2527.63,5.03,9.48,82,4,1,3,0,1,2,1,53,4.5,9.5,86,0,0.0
risky_1,2,623,2533.74,4.07,8.39,82,4,1,3,0,2,1,1,95,4.5,6.59,84,0,0.0
safe_1,4,360,2017.71,5.6,9.48,54,6,2,4,0,1,5,0,35,4.5,9.37,55,0,0.0
risky_1,4,588,2020.39,3.44,8.39,55,6,4,2,0,1,5,0,78,4.5,6.79,58,0,0.0
safe_1,7,447,2309.36,5.17,10.34,85,7,2,4,1,4,2,1,58,4.5,7.12,86,0,0.0
risky_1,7,627,2310.11,3.68,8.44,91,7,3,3,1,2,4,1,90,4.5,6.54,92,0,0.0
safe_1,3,248,1541.63,6.22,9.48,49,4,0,3,1,0,3,1,27,4.5,8.25,50,0,0.0
risky_1,3,446,1541.6,3.46,8.39,49,4,1,3,0,1,3,0,64,4.5,6.82,50,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,5.0,0.01,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
safe_1,3,224,1542.14,6.88,9.48,48,4,0,4,0,0,4,0,26,4.5,7.82,49,0,0.0
risky_1,3,470,1543.1,3.28,8.39,50,4,2,2,0,1,3,0,65,4.5,6.86,51,0,0.0
safe_1,7,457,2305.55,5.04,9.6,86,7,0,6,1,2,4,1,49,4.5,8.58,87,0,0.0
risky_1,7,629,2310.96,3.67,9.14,89,7,3,3,1,0,6,1,71,4.5,7.51,90,0,0.0
safe_1,9,400,2178.44,5.45,9.48,67,4,1,3,0,1,3,0,40,4.5,8.61,66,0,0.0
risky_1,9,601,2177.27,3.62,8.39,68,4,1,3,0,1,3,0,97,4.5,6.21,68,0,0.0
safe_1,2,519,2533.69,4.88,9.48,83,4,2,1,1,1,2,1,59,4.5,8.53,84,0,0.0
risky_1,2,596,2529.23,4.24,8.39,83,4,1,2,1,1,2,1,94,4.5,6.35,86,0,0.0
safe_1,1,289,1737.22,6.01,9.48,53,5,1,3,1,0,4,1,30,4.5,9.35,52,0,0.0
