Agent,AvgTime(steps),AvgDistance(m),AvgSpeed(m/s),AvgMaxSpeed(m/s),AvgEdges,NumRuns,AvgTLS_enc,AvgAmber_enc,AvgRed_enc,AvgGreen_enc,AvgAmber_runs,AvgRed_runs,AvgGreen_runs,AvgSudden_brakes,AvgMaxDecel(m/s^2),AvgAvgDecel(m/s^2),AvgLane_changes,AvgCollisions,AvgWaitTime(s),TotalTLS_enc,TotalAmber_enc,TotalRed_enc,TotalGreen_enc
safe_1,220.0,1902.82,8.65,15.92,60.8,5,6.6,1.0,4.6,1.0,1.0,4.6,1.0,8.4,10.99,17.87,60.6,1.4,0.0,33,5,23,5
risky_1,196.0,1899.87,9.72,18.63,57.6,5,4.8,0.6,3.8,0.4,1.0,5.0,0.6,55.8,16.78,14.17,57.2,1.4,0.0,24,3,19,2
