Agent,AvgTime,AvgDist,AvgSpeed,AvgEdges,Runs,AvgTLS,AvgStops,AvgWait,AvgAmber
safe_1,257.87,1608.96,6.48,52.27,100,4.71,1.49,58.82,0.0
risky_1,343.18,1555.74,5.36,53.49,100,4.71,2.09,59.52,0.0
