Agent ID,Average Journey Time (steps),Average Distance (m),Average Speed (m/s),Average Edges Travelled,Reaches Destination Count
safe_1,260.9,1827.36,7.14,59.26,100
risky_1,324.43,1764.8,5.95,60.75,100
